127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000511
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001932
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001159
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001355
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000870
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000681
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001784
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000872
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001877
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001149
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000603
127.0.0.1, 2013-07-25 21:03:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001501
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/default/site, HTTP/1.1, 303, 0.011408
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/default/index, HTTP/1.1, 200, 0.526711
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002009
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001880
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002481
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.001613
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002027
127.0.0.1, 2013-07-25 21:03:37, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000980
